BARCODE,ITEM DESCRIPTION,, SUPPLIER , SELLING PRICE , PURCHASE PRICE , REV ,,,,
6901028167215,FARSTAR ,,CIG, 45.00 , 28.00 , 17.00 ,,,,
6901028161244,FARSTAR RED,,CIG, 45.00 , 25.00 , 20.00 ,,,,
48043717,FORTUNE GREEN,,CIG, 155.00 , 145.00 , 10.00 ,,,,
48043441,FORTUNE LIGHTS,,CIG, 115.00 , 107.00 , 8.00 ,,,,
48041812,MIGHTY green ,,CIG, 155.00 , 145.00 , 10.00 ,,,,
MIGHTY,MIGHTY PC,,CIG, 9.00 , 7.25 , 1.75 ,,,,
48041836,MIGHTY RED,,CIG, 130.00 , 125.00 , 5.00 ,,,,
48040594,WINSTON RED ,,CIG, 174.00 , 163.00 , 11.00 ,,,,
15018458,AVON CRYSTAL TAWAS DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15018472,AVON CRYSTAL BRIGHTENING DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15326317,AVON CRYSTAL MEN SHOWER DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15326324,AVON CRYSTALNO MARKS DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
14634451,AVON DEO GLUTA ,,CLOSET, 95.00 , 90.00 , 5.00 ,,,,
14813375,AVON DEO PAPAYA,,CLOSET, 95.00 , 90.00 , 5.00 ,,,,
14634505,AVON DEO SHOWER CLEAN,,CLOSET, 95.00 , 90.00 , 5.00 ,,,,
14634529,AVON DEO SHOWER CLEAN (MEN) ,,CLOSET, 95.00 ,, NO PP ,,,,
12008469,AVON FEMININE WASH ,,CLOSET, 105.00 ,, NO PP ,,,,
14414374,AVON LOTION STRAWBERRY,,CLOSET, 179.00 ,, NO PP ,,,,
6941181111557,BREMOD HYDROX 6%,,CLOSET, 25.00 , 17.00 , 8.00 ,,,,
6941181105433,BREMOD HYDROX 9%,,CLOSET, 25.00 , 17.00 , 8.00 ,,,,
6941181106324,BREMOD LIGHT GOLDEN ASH BLOND,,CLOSET, 60.00 ,, NO PP ,,,,
4806525612607,POPPIN,,CLOSET, 12.00 , 6.75 , 5.25 ,,,,
4806525610177,POPPIN,,CLOSET, 12.00 , 6.75 , 5.25 ,,,,
4806525610191,POPPIN,,CLOSET, 12.00 , 6.75 , 5.25 ,,,,
6974962950106,POPPIN  CANDY,,CLOSET, 12.00 ,, NO PP ,,,,
RING,RING,,CLOSET, 10.00 , 8.00 , 2.00 ,,,,
SLIME,SLIME ,,CLOSET, 12.00 , 8.00 , 4.00 ,,,,
TOYS,TOY,,CLOSET, 20.00 ,, NO PP ,,,,
6941181106560,BREMOD 2.0 BLACK ,,CLOSET, 60.00 , 38.00 , 22.00 ,,,,
6941181106584,BREMOD 4.0 MED BROWN ,,CLOSET, 60.00 , 38.00 , 22.00 ,,,,
6941181118013,BREMOD 8.10 ASH BROWN,,CLOSET, 60.00 , 38.00 , 22.00 ,,,,
6941181106607,BREMOD BLOND 7.0,,CLOSET, 60.00 , 50.00 , 10.00 ,,,,
6941181106287,BREMOD GOLDEN BROWN ,,CLOSET, 60.00 , 50.00 , 10.00 ,,,,
6955785103405,BUBBLE GUM CRAZY,,CLOSET, 10.00 ,, NO PP ,,,,
BUBBLES,BUBBLES,,CLOSET, 25.00 ,, NO PP ,,,,
13984625,AVON SWEET HONESTY,,CLOSET, 200.00 ,, NO PP ,,,,
14634543,AVON DEO DRY SPORT ,,CLOSET, 95.00 ,, NO PP ,,,,
6903072435296,KISS SUNSCREEN,,CLOSET, 99.00 , 90.00 , 9.00 ,,,,
6903072435289,KISS SUNSCREEN,, CLOSET , 99.00 , 90.00 , 9.00 ,,,,
13440305,AVON SPRITZ,, CLOSET , 139.00 , 125.00 , 14.00 ,,,,
13440336,AVON SPRITZ,, CLOSET , 139.00 , 125.00 , 14.00 ,,,,
14786280,AVON SCENTS,, CLOSET , 99.00 , 90.00 , 9.00 ,,,,
4801981089529,NUTRIBOOST STRAW 10s,,COKE, 120.00 , 105.00 , 15.00 ,,,,
4801981193424,SARSI ROOTBEER,,COKE, 13.00 , 10.00 , 3.00 ,,,,
4800099101154,WILKINS 1.5L,,COKE, 45.00 , 31.50 , 13.50 ,,,,
4800602087937,WILKINS 1L DISTILLED,,COKE, 30.00 , 23.33 , 6.67 ,,,,
4801981116072,COKE 1.5L,,COKE, 75.00 , 60.83 , 14.17 ,,,,
4801981110001,COKE 320ML,,COKE, 35.00 , 26.00 , 9.00 ,,,,
4801981116966,COKE LIGHT 1.5L ,,COKE, 75.00 , 60.17 , 14.83 ,,,,
4801981190508,COKE MINI,,COKE, 22.00 , 16.83 , 5.17 ,,,,
4801981118502,COKE MISMO,,COKE, 20.00 , 15.33 , 4.67 ,,,,
4801981127177,COKE SAKTO ,,COKE, 15.00 , 11.42 , 3.58 ,,,,
4801981116645,COKE ZERO 1.5,,COKE, 75.00 , 60.17 , 14.83 ,,,,
4801981064854,MINUTE MAID 10s- APPLE,,COKE, 100.00 , 88.00 , 12.00 ,,,,
4801981064861,MINUTE MAID 10s- ORANGE ,,COKE, 100.00 , 88.00 , 12.00 ,,,,
4801981164851,MINUTE MAID APPLE,,COKE, 14.00 ,8.8, 5.20 ,,,,
4801981139736,MINUTE MAID MANGO ,,COKE, 13.00 , 8.80 , 4.20 ,,,,
4801981039739,MINUTE MAID MANGO 10s,,COKE, 100.00 , 88.00 , 12.00 ,,,,
4801981164868,MINUTE MAID ORANGE,,COKE, 14.00 ,8.8, 5.20 ,,,,
4801981120147,MINUTE MAID ORANGE PET BOTTLE ,,COKE, 20.00 , 14.33 , 5.67 ,,,,
4801981189533,NUTRIBOOST 330ML,,COKE, 28.00 , 23.50 , 4.50 ,,,,
4801981190119,NUTRIBOOST CHOCO 110ML,,COKE, 17.00 , 11.50 , 5.50 ,,,,
4801981189526,NUTRIBOOST STRAW 110ML,,COKE, 17.00 , 11.50 , 5.50 ,,,,
4806527715160,RC ROOT BEER,,COKE, 15.00 , 9.58 , 5.42 ,,,,
4801981116171,ROYAL 1.5,,COKE, 75.00 , 60.17 , 14.83 ,,,,
4801981112128,ROYAL 2L ,,COKE, 80.00 , 66.00 , 14.00 ,,,,
4801981118519,ROYAL MISMO,,COKE, 20.00 , 15.33 , 4.67 ,,,,
4801981116270,SPRITE 1.5L,,COKE, 75.00 , 60.17 , 14.83 ,,,,
4801981118601,SPRITE MISMO,,COKE, 20.00 , 15.33 , 4.67 ,,,,
4800014148080,SUMMIT 350ML,,COKE, 14.00 , 8.11 , 5.89 ,,,,
WILKINS,WILKINS,,COKE, 95.00 , 81.67 , 13.33 ,,,,
4801981127191,SPRITE SWAKTO,, COKE , 14.00 , 12.50 , 1.50 ,,,,
COKE,COKE MISMO,,COKE, 20.00 , 15.83 , 4.17 ,,,,
4801981127207,ROYAL SWAKTO  ,, COKE , 14.00 ,, NO PP ,,,,
8935236000093,COLGATE SUPER FLEXI,,COLGATE, 23.00 , 17.75 , 5.25 ,,,,
8850006325216,COLGATE 24g,,COLGATE, 12.00 , 7.01 , 4.99 ,,,,
4808888201115,COLGATE TOOTHBRUSH,,COLGATE, 22.00 , 15.50 , 6.50 ,,,,
8850006493014,PALMOLIVE PINK 6s,,COLGATE, 39.00 , 30.75 , 8.25 ,,,,
748485913025,BIRCH TREE 300G ,,CONSUMER, 89.00 , 84.00 , 5.00 ,,,,
748485401492,BIRCH TREE 33G ,,CONSUMER, 10.00 , 7.69 , 2.31 ,,,,
748485401508,BIRCHTREE 300G ,,CONSUMER, 96.00 , 90.00 , 6.00 ,,,,
748485401515,BIRCHTREE 700G ,,CONSUMER, 213.00 , 202.00 , 11.00 ,,,,
748485401621,BIRCHTREE CHOCO 33G ,,CONSUMER, 10.00 , 7.62 , 2.38 ,,,,
748485913032,BIRCHTREE FORT 700,,CONSUMER, 179.00 , 168.50 , 10.50 ,,,,
748485913841,BIRCHTREE FORTI 300G BUY 2,,CONSUMER, 156.00 , 146.75 , 9.25 ,,,,
748485401713,BIRCHTREE FRT 2KG ,,CONSUMER, 462.00 , 452.00 , 10.00 ,,,,
4800092556913,BROWNIE BREAK CHOCO,,CONSUMER, 77.00 , 70.09 , 6.91 ,,,,
4800092556937,BROWNIE BREAK NUTTY ,,CONSUMER, 77.00 , 70.09 , 6.91 ,,,,
4800092556906,BROWNIE BREAK SINGLE ,,CONSUMER, 5.00 , 3.45 , 1.55 ,,,,
shots,CABURY SHOTS 30s,,CONSUMER, 72.00 , 50.00 , 22.00 ,,,,
9556182023234,CADBURY 30g,,CONSUMER, 32.00 , 24.55 , 7.45 ,,,,
7622210086679,CADBURY FRUIT 30g ,,CONSUMER, 32.00 , 24.55 , 7.45 ,,,,
8901233028637,CADBURY SHOTS ,,CONSUMER, 12.00 , 8.00 , 4.00 ,,,,
7622201119157,CADBURY SHOTS PC,,CONSUMER, 3.00 , 1.60 , 1.40 ,,,,
4808647210099,CALUMET 50g,,CONSUMER, 18.00 , 14.53 , 3.47 ,,,,
4800040211246,CANDY ,,CONSUMER, 1.00 , 0.75 , 0.25 ,,,,
7622300501549,CHEEZWHIZ 110g,,CONSUMER, 49.00 , 44.00 , 5.00 ,,,,
